"","mapped_ID","Cand1","District_Name","is_done","comments","Position","user_name","State_name","Sex","poll_no","Cand_Type","AC_no","DelimID","sa_no","Party","Year","Sub_Region","Votes","ID","Age","email","AC_name","X","X.1","Times_contested","Times_won"
"132",13571,"KANDHAL SARMANBHAI JADEJA","BHAVNAGAR","yes","","1",NA,"Gujarat","M","0","GEN",84,4,12,"NCP","2012","SAURASHTRA",61416,13571,40,NA,"KUTIYANA","","",1,1
"133",13614,"ARVINDBHAI KESHAVBHAI LADANI","BHAVNAGAR","","","1",NA,"Gujarat","M","0","GEN",88,4,12,"BJP","2012","SAURASHTRA",53772,13614,49,NA,"KESHOD","","",1,1
"134",13623,"CHUDASAMA RAJESHBHAI NARANBHAI","BOTAD","","","1",NA,"Gujarat","M","0","GEN",89,4,12,"BJP","2012","SAURASHTRA",68452,13623,30,NA,"MANGROL","","",1,1
"135",13654,"SOLANKI JETHABHAI DANABHAI","ANAND","","","1",NA,"Gujarat","M","0","SC",92,4,12,"BJP","2012","SAURASHTRA",63319,13654,56,NA,"KODINAR","","",1,1
"136",13695,"VAGHASIYA VALLABHBHAI VASHARAMBHAI (V.V.VAGHASIYA)","KHEDA","","","1",NA,"Gujarat","M","0","GEN",97,4,12,"BJP","2012","SAURASHTRA",37246,13695,58,NA,"SAVARKUNDLA","","",1,1
"137",13713,"MAKWANA BHAVANABEN RAGHAVBHAI","KHEDA","yes","","1",NA,"Gujarat","F","0","GEN",99,4,12,"BJP","2012","SAURASHTRA",57498,13713,36,NA,"MAHUVA","","",2,2
"138",13721,"SHYAL BHARTIBEN DHIRUBHAI","KHEDA","","","1",NA,"Gujarat","F","0","GEN",100,4,12,"BJP","2012","SAURASHTRA",66357,13721,48,NA,"TALAJA","","",1,1
"139",13744,"RATHOD PRAVINBHAI JINABHAI","MAHISAGAR","","","1",NA,"Gujarat","M","0","GEN",102,4,12,"INC","2012","SAURASHTRA",69396,13744,47,NA,"PALITANA","","",1,1
"140",13759,"PARSHOTTAMBHAI ODHAVJIBHAI SOLANKI","MAHISAGAR","yes","","1",NA,"Gujarat","M","0","GEN",103,4,12,"BJP","2012","SAURASHTRA",83980,13759,51,NA,"BHAVNAGAR RURAL","","",3,3
"141",13766,"DAVE VIBHAVARIBEN VIJAYBHAI (VIBHABEN DAVE)","PANCHMAHAL","yes","","1",NA,"Gujarat","F","0","GEN",104,4,12,"BJP","2012","SAURASHTRA",85375,13766,53,NA,"BHAVNAGAR EAST","","",2,2
